step,money
0,50000
1,50000
2,50000
3,50000
4,50000
5,50000
6,50000
7,50000
8,50000
9,50000
10,50000
11,50000
12,50000
13,50000
14,49990
15,49980
16,49980
17,49980
18,49916
19,49884
20,49884
21,49884
22,49884
23,49884
24,49884
25,49884
26,49884
27,49596
28,49596
29,49596
30,49596
31,49596
32,49596
33,49254
34,49083
35,49083
36,49083
37,48603
38,48603
39,48603
40,48603
41,48603
42,48603
43,48603
44,48603
45,48603
46,48603
47,48603
48,48603
49,48603
50,48603
51,48603
52,48151
53,48101
54,47902
55,47902
56,47902
57,47902
58,47902
59,47902
60,47902
61,47902
62,47902
63,47902
64,47902
65,47902
66,47614
67,47104
68,47020
69,47020
70,45838
71,45796
72,45796
73,45796
74,45796
75,45796
76,45796
77,45796
78,45796
79,45796
80,45796
81,45796
82,45796
83,45796
84,45796
85,45796
86,45796
87,45796
88,45796
89,45796
90,45796
91,47378
92,47378
93,47378
94,47378
95,47378
96,49458
97,49458
98,49458
99,49458
100,49458
101,49287
102,49287
103,49287
104,49287
105,49287
106,49287
107,49287
108,49143
109,49143
110,49143
111,49143
112,49143
113,53164
114,53164
115,53164
116,53164
117,52993
118,52993
119,52993
120,52993
121,52993
122,52993
123,52993
124,52993
125,52450
126,52408
127,52408
128,52408
129,52408
130,52408
131,52408
132,52408
133,52408
134,52408
135,52408
136,52153
137,52111
138,52111
139,52111
140,52048
141,52738
142,52738
143,52738
144,52738
145,52738
146,52738
147,52738
148,52738
149,52738
150,52738
151,52738
152,52738
153,52738
154,52738
155,52738
156,52738
157,52141
158,52141
159,51970
160,51970
161,51970
162,51970
163,51970
164,51970
165,51970
166,51970
167,51970
168,51844
169,51844
170,51844
171,51844
172,51748
173,51748
174,51493
175,51451
176,51451
177,51401
178,51401
179,51401
180,51401
181,51401
182,51401
183,51401
184,51401
185,51401
186,51353
187,51257
188,51257
189,51154
190,51154
191,51154
192,51154
193,51154
194,51154
195,51154
196,51154
197,51112
198,51112
199,51112
200,51112
201,51112
202,51112
203,50824
204,50824
205,50824
206,50814
207,50814
208,54675
209,54675
210,54675
211,54675
212,54675
213,54675
214,54675
215,54675
216,54675
217,54675
218,54675
219,54675
220,54336
221,54336
222,54336
223,53997
224,53934
225,53934
226,53934
227,53934
228,53934
229,53934
230,53934
231,53934
232,53934
233,53934
234,53934
235,53934
236,53934
237,53934
238,53934
239,53934
240,53934
241,53934
242,53934
243,53934
244,53934
245,53625
246,53625
247,53529
248,53466
249,53466
250,53466
251,53456
252,53408
253,53262
254,53262
255,53262
256,53262
257,53262
258,53262
259,53262
260,53262
261,53262
262,53262
263,52974
264,54120
265,53811
266,53811
267,53811
268,53811
269,53811
270,53811
271,53698
272,53648
273,53648
274,53648
275,53648
276,53648
277,53648
278,53648
279,53648
280,53648
281,53504
282,53504
283,53504
284,53504
285,53504
286,53504
287,53504
288,53504
289,53504
290,53504
291,53504
292,53504
293,56937
294,56937
295,56937
296,56937
297,56937
298,56937
299,58679
300,58679
301,58679
302,58679
303,58679
304,58679
305,58679
306,58679
307,58679
308,58679
309,58679
310,58679
311,58679
312,58679
313,58583
314,58526
315,58526
316,58526
317,58526
318,58486
319,58436
320,58436
321,58256
322,58256
323,58256
324,58256
325,58256
326,58256
327,58256
328,58256
329,58085
330,58085
331,58085
332,58085
333,57689
334,57563
335,57563
336,57563
337,57563
338,57563
339,57563
340,57563
341,57563
342,57563
343,57308
344,57266
345,57266
346,57266
347,57266
348,57266
349,57266
350,57266
351,57163
352,57163
353,57163
354,57163
355,57163
356,57163
357,57163
358,57163
359,57163
360,57163
361,57163
362,57163
363,57163
364,57163
365,57163
366,57163
367,57163
368,57163
369,57163
370,56875
371,56875
372,56875
373,56875
374,56875
375,56875
376,56875
377,56875
378,56875
379,56875
380,56875
381,56636
382,56586
383,56538
384,56442
385,56442
386,56442
387,56329
388,56231
389,56135
390,56135
391,56135
392,56093
393,55990
394,55990
395,55990
